t,x
48901,5.767049706810446e-06
48902,5.772967099901476e-06
48903,5.775522249489534e-06
48904,5.778467394314995e-06
48905,5.783328481372681e-06
48906,5.786845355646373e-06
48907,5.7857906186666575e-06
48908,5.77947112634465e-06
48909,5.768668941902892e-06
48910,5.754837877312669e-06
48911,5.738336784821985e-06
48912,5.71850347312063e-06
48913,5.695987442899973e-06
48914,5.6730513527704e-06
48915,5.650590972996585e-06
48916,5.627160148235191e-06
48917,5.601456135737425e-06
48918,5.573701405641781e-06
48919,5.546138928226665e-06
48920,5.520994356022237e-06
48921,5.499458458673213e-06
48922,5.48077048647516e-06
48923,5.463274837387861e-06
48924,5.448640864059147e-06
48925,5.4378056647682666e-06
48926,5.427468550487128e-06
48927,5.416026405680135e-06
48928,5.40648620868257e-06
48929,5.400677140736979e-06
48930,5.395897276110667e-06
48931,5.389592084997031e-06
48932,5.382144133988677e-06
48933,5.3748976068387794e-06
48934,5.369260689659218e-06
48935,5.3657355384304275e-06
48936,5.3633561642527e-06
48937,5.361131362450219e-06
48938,5.358103525622935e-06
48939,5.353207483272096e-06
48940,5.347766062253395e-06
48941,5.345188010513993e-06
48942,5.345283578783429e-06
48943,5.345527068391835e-06
48944,5.346476240430615e-06
48945,5.3475913124103935e-06
48946,5.345665758425437e-06
48947,5.340097255173833e-06
48948,5.332056993724462e-06
48949,5.321504289864001e-06
48950,5.308035619429886e-06
48951,5.29132054865881e-06
48952,5.271124239652633e-06
48953,5.248045590001523e-06
48954,5.222443074817067e-06
48955,5.19428173024081e-06
48956,5.164505295440562e-06
48957,5.134184782710385e-06
48958,5.1037321425842705e-06
48959,5.073406554183169e-06
48960,5.043354077900739e-06
48961,5.01295091994529e-06
48962,4.982117403762493e-06
48963,4.954303271241437e-06
48964,4.933767046538475e-06
48965,4.9201592089192046e-06
48966,4.908710658832275e-06
48967,4.897248100896792e-06
